"","X","X.2","X.1","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","lp100km"
"1",1,1,"Mazda RX4",21,6,160,110,3.9,2.62,16.46,0,1,4,4,13.4514787214098
"2",2,2,"Mazda RX4 Wag",21,6,160,110,3.9,2.875,17.02,0,1,4,4,13.4514787214098
"3",3,3,"Datsun 710",22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,12.3895198749827
"4",4,4,"Hornet 4 Drive",21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,13.2000492125984
"5",5,5,"Hornet Sportabout",18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,15.1059386711019
"6",6,6,"Valiant",18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,15.6066880193153
"7",7,7,"Duster 360",14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,19.7539198006718
"8",8,8,"Merc 240D",24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,11.577092342197
"9",9,9,"Merc 230",22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,12.3895198749827
"10",10,10,"Merc 280",19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,14.712554851542
"11",11,11,"Merc 280C",17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,15.8697220870565
"12",12,12,"Merc 450SE",16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,17.2244544603418
"13",13,13,"Merc 450SL",17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,16.3283845751217
"14",14,14,"Merc 450SLC",15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,18.5842798124741
"15",15,15,"Cadillac Fleetwood",10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,27.1616397259237
"16",16,16,"Lincoln Continental",10.4,8,460,215,3,5.424,17.82,0,0,3,4,27.1616397259237
"17",17,17,"Chrysler Imperial",14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,19.2163981734426
"18",19,19,"Honda Civic",30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,9.29213990623705
"19",21,21,"Toyota Corona",21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,13.1386536348654
"20",22,22,"Dodge Challenger",15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,18.2245840741681
"21",23,23,"AMC Javelin",15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,18.5842798124741
"22",24,24,"Camaro Z28",13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,21.2391769285418
"23",25,25,"Pontiac Firebird",19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,14.712554851542
"24",26,26,"Fiat X1-9",27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,10.3472913241614
"25",27,27,"Porsche 914-2",26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,10.8646558903695
"26",28,28,"Lotus Europa",30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,9.29213990623705
"27",29,29,"Ford Pantera L",15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,17.8785476676966
"28",30,30,"Ferrari Dino",19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,14.3391397537871
"29",31,31,"Maserati Bora",15,8,301,335,3.54,3.57,14.6,0,1,5,8,18.8320702099738
"30",32,32,"Volvo 142E",21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,13.2000492125984
